id,user,uid,version,changeset,timestamp
8939901,balrog-kun,20587,5,4245390,2010-03-27T12:01:14Z
8939902,Bike Mapper,74705,10,16565259,2013-06-15T16:27:02Z
8939903,Christine_E,1707766,18,44301330,2016-12-10T11:39:22Z
8939924,stevea,123633,9,5274738,2010-07-20T21:59:52Z
8939934,Apo42,25510,6,10069783,2011-12-08T23:48:45Z
8939941,Bike Mapper,74705,8,40788827,2016-07-16T22:16:07Z
8939950,phoenix23,383461,29,21449875,2014-04-02T04:28:16Z
8939954,balrog-kun,20587,8,4245390,2010-03-27T12:01:24Z
8939957,balrog-kun,20587,2,4245390,2010-03-27T12:01:24Z
8939967,Telecas,202256,13,44332190,2016-12-11T21:03:34Z
8939968,Christine_E,1707766,7,43817304,2016-11-20T09:02:33Z
8939988,Telecas,202256,16,42165215,2016-09-15T06:36:41Z
8939989,matthieun,595221,14,21368601,2014-03-28T16:31:05Z
8939990,balrog-kun,20587,3,4245390,2010-03-27T12:01:32Z
8939991,Bike Mapper,74705,3,40788827,2016-07-16T22:16:07Z
8939994,balrog-kun,20587,3,4245390,2010-03-27T12:01:33Z
8940005,PemFR,86806,4,12755851,2012-08-16T21:14:45Z
8940008,mk408,201724,7,3939568,2010-02-21T22:22:07Z
8940015,oba510,933797,4,45994123,2017-02-11T10:20:53Z
8940019,Christine_E,1707766,4,44301330,2016-12-10T11:39:17Z
8940036,Minh Nguyen,33757,10,32402463,2015-07-04T04:16:10Z
8940041,mk408,201724,8,6545993,2010-12-05T00:50:08Z
8940076,balrog-kun,20587,3,4245390,2010-03-27T12:01:49Z
8940079,mk408,201724,4,3930619,2010-02-21T08:25:23Z
8940081,Minh Nguyen,33757,15,31682562,2015-06-03T04:56:34Z
8940092,balrog-kun,20587,3,4245390,2010-03-27T12:01:52Z
8940097,Minh Nguyen,33757,6,33380167,2015-08-17T00:16:17Z
8940100,doug_sfba,1796809,10,44477113,2016-12-17T19:27:14Z
8940105,mk408,201724,5,6543132,2010-12-04T20:22:34Z
8940114,njaard,173918,4,20204685,2014-01-26T04:58:25Z
8940149,Minh Nguyen,33757,14,46544230,2017-03-03T09:36:04Z
8940156,mk408,201724,8,6840917,2011-01-02T17:30:17Z
8940167,Telecas,202256,11,42165215,2016-09-15T06:36:41Z
8940177,Apo42,25510,10,10047369,2011-12-06T05:56:00Z
8940178,Bike Mapper,74705,4,40618512,2016-07-09T20:01:51Z
8940182,balrog-kun,20587,3,4245390,2010-03-27T12:02:07Z
8940192,mk408,201724,7,3947876,2010-02-22T21:47:45Z
8940194,Bike Mapper,74705,4,38630304,2016-04-16T20:08:58Z
8940214,DaveHansenTiger,7168,1,112601,2007-10-12T02:05:04Z
8940226,Bike Mapper,74705,10,16565585,2013-06-15T16:56:07Z
8940238,balrog-kun,20587,3,4245390,2010-03-27T12:02:17Z
8940240,andrewpmk,1679,3,42642,2009-04-02T04:34:10Z
8940244,mk408,201724,5,3940145,2010-02-21T23:46:54Z
8940294,phoenix23,383461,11,20994138,2014-03-08T20:30:51Z
8940304,Apo42,25510,6,14957898,2013-02-08T16:42:01Z
8940320,ChrisZontine,1376118,10,18393530,2013-10-16T20:51:58Z
8940324,Bike Mapper,74705,4,27192946,2014-12-03T04:38:52Z
8940334,adbrown,54598,2,798223,2008-11-26T09:24:13Z
8940336,mk408,201724,5,4121221,2010-03-14T06:23:31Z
8940338,Minh Nguyen,33757,5,33061087,2015-08-03T06:06:14Z
8940341,n76,318696,8,29105512,2015-02-26T01:32:06Z
8940358,balrog-kun,20587,3,4245390,2010-03-27T12:02:36Z
8940364,mk408,201724,3,4184717,2010-03-20T21:08:56Z
8940377,beddy,3207726,4,44316674,2016-12-11T06:55:50Z
8940418,oba510,933797,4,45994123,2017-02-11T10:20:48Z
8940423,balrog-kun,20587,4,4245390,2010-03-27T12:02:45Z
8940424,mk408,201724,5,3939568,2010-02-21T22:22:08Z
8940472,oba510,933797,4,45994123,2017-02-11T10:20:51Z
8940477,doug_sfba,1796809,6,40470318,2016-07-04T05:04:11Z
8940480,SteveC,682,2,348425,2008-05-06T14:21:13Z
8940513,Bike Mapper,74705,5,14974505,2013-02-10T00:34:06Z
8940558,abel801,2377377,8,28291492,2015-01-20T19:10:51Z
8940584,n76,318696,5,33867276,2015-09-07T20:37:10Z
8940611,adbrown,54598,3,729116,2008-11-10T09:58:31Z
8940630,mk408,201724,3,3929075,2010-02-21T00:05:21Z
8940638,andrewpmk,1679,10,33685326,2015-08-30T15:54:26Z
8940698,doug_sfba,1796809,5,44477113,2016-12-17T19:27:14Z
8940722,mk408,201724,5,3940145,2010-02-21T23:47:10Z
8940730,balrog-kun,20587,3,4245390,2010-03-27T12:03:20Z
8940745,balrog-kun,20587,8,4245390,2010-03-27T12:03:22Z
8940747,phoenix23,383461,10,21466418,2014-04-02T21:19:55Z
8940762,Apo42,25510,8,10047426,2011-12-06T06:24:52Z
8940825,oba510,933797,5,27193284,2014-12-03T05:42:15Z
8940827,mk408,201724,4,6983667,2011-01-16T01:00:40Z
8940833,IceArdor,1966796,8,21039936,2014-03-11T07:52:21Z
8940845,n76,318696,12,20838509,2014-03-01T03:04:56Z
8940886,TorieRob,3821658,12,39225286,2016-05-10T18:47:50Z
8940954,balrog-kun,20587,4,4245390,2010-03-27T12:03:43Z
8940964,Telecas,202256,11,44414691,2016-12-15T05:49:06Z
8940972,Telecas,202256,14,36458459,2016-01-09T06:48:38Z
8940975,n76,318696,6,21770324,2014-04-18T15:10:40Z
8940984,balrog-kun,20587,9,4245390,2010-03-27T12:03:47Z
8941005,oba510,933797,16,45994123,2017-02-11T10:20:54Z
8941007,balrog-kun,20587,3,4245390,2010-03-27T12:03:57Z
8941014,balrog-kun,20587,3,4245390,2010-03-27T12:03:58Z
8941020,andrewpmk,1679,4,33685315,2015-08-30T15:54:00Z
8941023,Bike Mapper,74705,8,39007914,2016-04-30T22:49:44Z
8941043,Minh Nguyen,33757,8,32282382,2015-06-29T11:00:27Z
8941069,balrog-kun,20587,2,4245390,2010-03-27T12:04:03Z
8941077,calfarome,2511706,12,39224925,2016-05-10T18:31:24Z
8941096,mk408,201724,3,3960185,2010-02-24T05:50:36Z
8941099,balrog-kun,20587,3,4245390,2010-03-27T12:04:06Z
8941104,Bike Mapper,74705,4,14483968,2013-01-01T07:12:43Z
8941108,dchiles,153669,8,13037970,2012-09-08T20:40:12Z
8941118,Bike Mapper,74705,9,6758268,2010-12-25T00:41:41Z
8941131,mk408,201724,3,3941410,2010-02-22T08:10:29Z
8941133,balrog-kun,20587,2,4245390,2010-03-27T12:04:09Z
8941136,balrog-kun,20587,4,4245390,2010-03-27T12:04:09Z
8941137,Bike Mapper,74705,3,14974169,2013-02-09T23:32:53Z
8941138,andrewpmk,1679,5,33685296,2015-08-30T15:52:53Z
8941147,mk408,201724,2,3930070,2010-02-21T06:08:09Z
8941154,mk408,201724,3,3941070,2010-02-22T06:36:58Z
8941163,balrog-kun,20587,13,4245390,2010-03-27T12:04:14Z
8941166,Apo42,25510,18,10069783,2011-12-08T23:48:40Z
8941178,mk408,201724,4,3550753,2010-01-06T03:26:37Z
8941179,pbfoot06,2281061,8,27053860,2014-11-26T20:16:03Z
8941190,balrog-kun,20587,3,4245390,2010-03-27T12:04:21Z
8941245,andrewpmk,1679,4,3960500,2010-02-24T07:43:13Z
8941247,TorieRob,3821658,11,40002959,2016-06-13T21:14:10Z
8941250,Bike Mapper,74705,5,7268197,2011-02-12T19:02:49Z
8941251,matthieun,595221,5,22343432,2014-05-14T22:39:09Z
8941258,balrog-kun,20587,7,4245390,2010-03-27T12:04:34Z
8941303,Bike Mapper,74705,3,7268330,2011-02-12T19:15:21Z
8941319,Bike Mapper,74705,7,40618512,2016-07-09T20:01:55Z
8941360,balrog-kun,20587,3,4245390,2010-03-27T12:04:53Z
8941373,Bike Mapper,74705,4,39025015,2016-05-01T20:19:08Z
8941374,balrog-kun,20587,3,4245390,2010-03-27T12:04:55Z
8941390,Bike Mapper,74705,11,14483968,2013-01-01T07:00:12Z
8941393,mk408,201724,6,3947793,2010-02-22T21:39:02Z
8941394,balrog-kun,20587,4,4245390,2010-03-27T12:04:59Z
